symbol	mcap_cr	pe	pb	industry
HDFCLIFE	125209	66.2	7.1	Life Insurance
HEG	10638	28.6	2.3	Electrodes & Refractories
HEROMOTOCO	102116	18.8	4.9	2/3 Wheelers
HEXT	27427	20.3	4.3	Computers - Software & Consulting
HFCL	11152	202.4	2.5	Telecom - Infrastructure
HINDALCO	207366	12.8	1.5	Aluminium
HINDCOPPER	48694	73.7	16.4	Copper
HINDPETRO	69803	4.5	1.2	Refineries & Marketing
HINDUNILVR	489914	48.5	10.1	Diversified FMCG
HINDZINC	222273	18.8	16.2	Zinc
HOMEFIRST	10214	20.0	2.5	Housing Finance Company
HONASA	9921	63.9	7.8	Personal Care
HONAUT	24317	48.0	5.8	Industrial Products
HSCL	22939	31.9	5.5	Carbon Black
HUDCO	33936	12.2	1.9	Financial Institution
HYUNDAI	137433	23.8	7.8	Passenger Cars & Utility Vehicles
ICICIBANK	881662	16.8	2.5	Private Sector Bank
ICICIGI	85392	31.4	5.0	General Insurance
ICICIPRULI	74330	54.2	5.5	Life Insurance
IDBI	75339	8.1	1.1	Private Sector Bank
IDEA	94909		-1.2	Telecom - Cellular & Fixed line services
IDFCFIRSTB	52539	32.1	1.2	Private Sector Bank
IEX	11219	23.4	9.0	Exchange and Data Platform
IFCI	14280	35.5	1.6	Financial Institution
IGIL	13918	27.2	9.9	Diversified Commercial Services
IGL	20853	12.5	1.9	LPG/CNG/PNG/LNG Supplier
IIFL	18708	14.7	1.4	Non Banking Financial Company (NBFC)
IIFLCAPS	8138	14.9	2.9	Unknown
IKS	22937	35.2	10.2	IT Enabled Services
INDGN	11301	25.8	3.9	Healthcare Research Analytics & Technology
INDHOTEL	84751	42.2	7.3	Hotels & Resorts
INDIACEM	16734		1.1	Cement & Cement Products
INDIAMART	12421	20.6	5.3	Internet & Catalogue Retail
INDIANB	121250	10.5	1.5	Public Sector Bank
INDIGO	166727	51.9	19.3	Airline
INDOTHAI	3730	100.1	16.1	Unknown
INDUSINDBK	61253		0.9	Private Sector Bank
INDUSTOWER	112211	15.7	3.0	Telecom - Infrastructure
INFY	528568	18.2	6.1	Computers - Software & Consulting
INNOMET	0			Unknown
INOXINDIA	11071	44.6	11.3	Other Industrial Products
INOXWIND	13998	29.5	1.6	Heavy Electrical Equipment
INTELLECT	9050	25.6	3.0	Computers - Software & Consulting
IOB	63678	13.4	1.9	Public Sector Bank
IOC	189295	5.2	0.9	Refineries & Marketing
IPCALAB	37073	40.6	4.5	Pharmaceuticals
IRB	24965	32.8	1.2	Civil Construction
IRCON	11845	19.3	1.8	Civil Construction
IRCTC	41176	28.9	9.7	Tour Travel Related Services
IREDA	32469	16.9	2.4	Financial Institution
IRFC	121195	17.3	2.1	Financial Institution
ITC	369431	18.1	5.2	Diversified FMCG
ITCHOTELS	31182	41.1	2.8	Hotels & Resorts
ITI	24903		16.5	Telecom - Equipment & Accessories
J&KBANK	12752	5.9	0.8	Private Sector Bank
JAINREC	15993	46.1	11.0	Unknown
JBCHEPHARM	31341	41.1	8.0	Pharmaceuticals
JBMA	13267	175.2	9.3	Auto Components & Equipments
JINDALSAW	12448	11.1	1.0	Iron & Steel Products
JINDALSTEL	115383	58.3	2.3	Iron & Steel
JIOFIN	149496	93.4	1.1	Investment Company
JKCEMENT	41385	40.6	6.4	Cement & Cement Products
JKTYRE	11336	15.9	2.1	Tyres & Rubber Products
JMFINANCIL	11694	9.5	1.1	Holding Company
JPPOWER	10382	22.9	1.5	Power Generation
JSL	59728	20.3	3.3	Iron & Steel
JSWCEMENT	15863		2.4	Cement & Cement Products
JSWENERGY	87227	38.2	3.0	Power Generation
JSWINFRA	49736	30.9	4.9	Port & Port services
JSWSTEEL	276923	37.2	3.3	Iron & Steel
JUBLFOOD	30326	94.7	13.4	Restaurants
JUBLINGREA	9394	35.5	3.1	Specialty Chemicals
JUBLPHARMA	13539	31.3	2.1	Pharmaceuticals
JUSTDIAL	4174	7.3	0.9	Unknown
JWL	11036	44.5	3.9	Railway Wagons
JYOTHYLAB	7707	22.6	5.4	Household Products
JYOTICNC	17440	0.7	9.5	Industrial Products
KAJARIACER	15759	38.9	5.4	Ceramics
KALYANKJIL	43430	38.5	8.1	Gems Jewellery And Watches
KARURVYSYA	26046	11.3	2.0	Private Sector Bank
KAYNES	24865	62.7	5.2	Industrial Products
KEC	14206	20.6	2.5	Civil Construction
KEI	39417	45.7	6.4	Cables - Electricals
KFINTECH	15868	45.8	10.8	Depositories Clearing Houses and Other Intermediaries
KIMS	25073	83.3	11.0	Hospital
KIRLOSBROS	11356	28.4	5.1	Compressors Pumps & Diesel Engines
KIRLOSENG	20589	37.9	6.1	Compressors Pumps & Diesel Engines
KOTAKBANK	358585	19.1	2.1	Private Sector Bank
KPIL	18515	22.2	2.7	Civil Construction
KPITTECH	18942	26.5	5.8	Computers - Software & Consulting
KPRMILL	28799	34.0	5.4	Other Textile Products
KSB	14483	53.7	8.6	Compressors Pumps & Diesel Engines
LALPATHLAB	22580	42.8	9.5	Healthcare Service Provider
LATENTVIEW	6220	31.3	3.8	Computers - Software & Consulting
LAURUSLABS	57141	67.7	11.9	Pharmaceuticals
LEMONTREE	8687	39.5	7.0	Hotels & Resorts
LICHSGFIN	28469	5.2	0.7	Housing Finance Company
LICI	471181	8.9	3.9	Life Insurance
LINDEINDIA	60833	102.9	15.2	Industrial Gases
LLOYDSME	80835	32.7	9.7	Industrial Minerals
LODHA	70936	21.3	3.3	Residential Commercial Projects
